City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Maragogi,BR,81.72,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
4,Hilo,US,80.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
6,Faanui,PF,82.15,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
8,Kununurra,AU,73.38,light rain,-15.7667,128.7333,Hotel Kununurra
14,Saint-Leu,RE,76.32,few clouds,-21.15,55.2833,La Caz Oceane
15,Rikitea,PF,78.96,clear sky,-23.1203,-134.9692,People ThankYou
16,Kahului,US,77.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
17,Ixtapa,MX,79.83,scattered clouds,20.7,-105.2,hotel la terminal
25,Bengkulu,ID,76.48,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
31,Carnarvon,AU,71.13,clear sky,-24.8667,113.6333,Hospitality Carnarvon
38,Banda Aceh,ID,80.49,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
39,Souillac,MU,77.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
45,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
47,Sao Filipe,CV,71.49,overcast clouds,14.8961,-24.4956,Hotel Xaguate
48,Labuhan,ID,76.86,light rain,-6.8844,112.2051,DoubleFAG
53,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
55,Butaritari,KI,80.56,light rain,3.0707,172.7902,Isles Sunset Lodge
57,Matara,LK,78.37,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
58,Rayong,TH,85.8,broken clouds,12.8333,101.4333,Suan Palm Garden View Hotel
59,Alice Town,BS,75.2,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
65,Arraial Do Cabo,BR,77.67,few clouds,-22.9661,-42.0278,Pousada Porto Praia
66,Avarua,CK,73.45,light rain,-21.2078,-159.775,Paradise Inn
73,Ampanihy,MG,76.44,overcast clouds,-24.7,44.75,Angora Hotel
74,Bambous Virieux,MU,77.22,light rain,-20.3428,57.7575,Casa Tia Villa
78,Cauquenes,CL,71.51,clear sky,-35.9671,-72.3225,Viña Don Heraldo
83,Tarakan,ID,79.0,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
84,Nago,JP,72.45,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
86,Yulara,AU,84.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
87,Kudahuvadhoo,MV,84.11,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
89,Buin,CL,73.06,overcast clouds,-33.7333,-70.75,Paihuen
98,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
101,Alto Araguaia,BR,86.09,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
102,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
103,Salalah,OM,80.69,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
114,Culaman,PH,79.45,overcast clouds,5.9603,125.6586,Jasmin Ex House
116,Vila Velha,BR,82.94,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
119,Victoria,HK,78.19,clear sky,22.2855,114.1577,Mini Hotel Central
120,Caravelas,BR,81.55,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
122,Rio Tercero,AR,72.72,overcast clouds,-32.173,-64.1141,Hospedaje Las Violetas
